20
Lib1;Libro1;Libro1;Tema1;1;10;4
Lib2;Libro2;Libro2;Tema2;2;40;1
Lib3;Libro3;Libro3;Tema3;3;90;1
Lib4;Libro4;Libro4;Tema4;4;80;3
Lib5;Libro5;Libro5;Tema5;5;20;1
Lib6;Libro6;Libro6;Tema6;6;50;2
Lib7;Libro7;Libro7;Tema7;7;10;4
Lib8;Libro8;Libro8;Tema8;8;10;4
Lib9;Libro9;Libro9;Tema9;9;50;3
Lib10;Libro10;Libro10;Tema10;10;70;1
Lib11;Libro11;Libro11;Tema11;11;10;1
Lib12;Libro12;Libro12;Tema12;12;20;2
Lib13;Libro13;Libro13;Tema13;13;20;3
Lib14;Libro14;Libro14;Tema14;14;10;1
Lib15;Libro15;Libro15;Tema15;15;80;4
Lib16;Libro16;Libro16;Tema16;16;70;3
Lib17;Libro17;Libro17;Tema17;17;10;3
Lib18;Libro18;Libro18;Tema18;18;90;1
Lib19;Libro19;Libro19;Tema19;19;70;4
Lib20;Libro20;Libro20;Tema20;20;50;3
