1000
Lib1;Libro1;Libro1;Tema1;1;10;4
Lib2;Libro2;Libro2;Tema2;2;40;1
Lib3;Libro3;Libro3;Tema3;3;90;1
Lib4;Libro4;Libro4;Tema4;4;80;3
Lib5;Libro5;Libro5;Tema5;5;20;1
Lib6;Libro6;Libro6;Tema6;6;50;2
Lib7;Libro7;Libro7;Tema7;7;10;4
Lib8;Libro8;Libro8;Tema8;8;10;4
Lib9;Libro9;Libro9;Tema9;9;50;3
Lib10;Libro10;Libro10;Tema10;10;70;1
Lib11;Libro11;Libro11;Tema11;11;10;1
Lib12;Libro12;Libro12;Tema12;12;20;2
Lib13;Libro13;Libro13;Tema13;13;20;3
Lib14;Libro14;Libro14;Tema14;14;10;1
Lib15;Libro15;Libro15;Tema15;15;80;4
Lib16;Libro16;Libro16;Tema16;16;70;3
Lib17;Libro17;Libro17;Tema17;17;10;3
Lib18;Libro18;Libro18;Tema18;18;90;1
Lib19;Libro19;Libro19;Tema19;19;70;4
Lib20;Libro20;Libro20;Tema20;20;50;3
Lib21;Libro21;Libro21;Tema21;21;30;4
Lib22;Libro22;Libro22;Tema22;22;20;2
Lib23;Libro23;Libro23;Tema23;23;30;1
Lib24;Libro24;Libro24;Tema24;24;10;4
Lib25;Libro25;Libro25;Tema25;25;30;1
Lib26;Libro26;Libro26;Tema26;26;70;1
Lib27;Libro27;Libro27;Tema27;27;20;2
Lib28;Libro28;Libro28;Tema28;28;70;4
Lib29;Libro29;Libro29;Tema29;29;30;2
Lib30;Libro30;Libro30;Tema30;30;90;3
Lib31;Libro31;Libro31;Tema31;31;60;4
Lib32;Libro32;Libro32;Tema32;32;0;3
Lib33;Libro33;Libro33;Tema33;33;80;3
Lib34;Libro34;Libro34;Tema34;34;0;3
Lib35;Libro35;Libro35;Tema35;35;40;1
Lib36;Libro36;Libro36;Tema36;36;60;2
Lib37;Libro37;Libro37;Tema37;37;0;2
Lib38;Libro38;Libro38;Tema38;38;0;3
Lib39;Libro39;Libro39;Tema39;39;60;2
Lib40;Libro40;Libro40;Tema40;40;30;1
Lib41;Libro41;Libro41;Tema41;41;90;4
Lib42;Libro42;Libro42;Tema42;42;40;3
Lib43;Libro43;Libro43;Tema43;43;60;1
Lib44;Libro44;Libro44;Tema44;44;60;1
Lib45;Libro45;Libro45;Tema45;45;10;1
Lib46;Libro46;Libro46;Tema46;46;40;4
Lib47;Libro47;Libro47;Tema47;47;60;4
Lib48;Libro48;Libro48;Tema48;48;70;3
Lib49;Libro49;Libro49;Tema49;49;80;3
Lib50;Libro50;Libro50;Tema50;50;90;2
Lib51;Libro51;Libro51;Tema51;51;30;4
Lib52;Libro52;Libro52;Tema52;52;90;3
Lib53;Libro53;Libro53;Tema53;53;40;3
Lib54;Libro54;Libro54;Tema54;54;70;3
Lib55;Libro55;Libro55;Tema55;55;30;3
Lib56;Libro56;Libro56;Tema56;56;10;2
Lib57;Libro57;Libro57;Tema57;57;40;1
Lib58;Libro58;Libro58;Tema58;58;0;2
Lib59;Libro59;Libro59;Tema59;59;70;2
Lib60;Libro60;Libro60;Tema60;60;70;1
Lib61;Libro61;Libro61;Tema61;61;60;3
Lib62;Libro62;Libro62;Tema62;62;10;1
Lib63;Libro63;Libro63;Tema63;63;50;4
Lib64;Libro64;Libro64;Tema64;64;50;3
Lib65;Libro65;Libro65;Tema65;65;10;1
Lib66;Libro66;Libro66;Tema66;66;0;3
Lib67;Libro67;Libro67;Tema67;67;10;1
Lib68;Libro68;Libro68;Tema68;68;60;3
Lib69;Libro69;Libro69;Tema69;69;70;4
Lib70;Libro70;Libro70;Tema70;70;70;2
Lib71;Libro71;Libro71;Tema71;71;70;4
Lib72;Libro72;Libro72;Tema72;72;30;4
Lib73;Libro73;Libro73;Tema73;73;50;2
Lib74;Libro74;Libro74;Tema74;74;90;3
Lib75;Libro75;Libro75;Tema75;75;10;1
Lib76;Libro76;Libro76;Tema76;76;20;3
Lib77;Libro77;Libro77;Tema77;77;60;3
Lib78;Libro78;Libro78;Tema78;78;30;1
Lib79;Libro79;Libro79;Tema79;79;0;4
Lib80;Libro80;Libro80;Tema80;80;20;4
Lib81;Libro81;Libro81;Tema81;81;0;4
